,Accuracy,ROC-AUC,PR-AUC,Precision (1),Recall (1),F1-score (1)
Logistic Regression,0.7455968688845401,0.8439094650205762,0.2677017968134798,0.13793103448275862,0.8,0.2352941176470588
Random Forest,0.9510763209393346,0.7711625514403292,0.1305934886741854,0.0,0.0,0.0
Logistic Regression with SMOTE-Tomek,0.7886497064579256,0.8397942386831275,0.25583252627457065,0.15126050420168066,0.72,0.24999999999999997
Random Forest with SMOTE-Tomek,0.9090019569471625,0.7808230452674898,0.16372255789653095,0.16923076923076924,0.22,0.19130434782608696
